name	alias
category	人物
疯狂小瑞瑞	leorchn
神奇陆夫人	ladylu
TommyCrash	tommy
凯莫	catkai
OREY DOG	orey
Metro Dog	metro
Simone Parker	simone
阳光龙	light
KCN杏仁	kcn
肥猫 Rambo	rambo
焦糖狐	cfox
混血狼狗	longo
毛绒虎爪	
刚刚开始玩	ggksw
布哥-BOOG	boog
子雄	zix
亚罗神虎
匈魔剑 Zoharwolf	zohar zoharwolf
布鲁 bulwolf	bul bulwolf
孙卡米	bg6gil
薄荷	enma
车仔	chezai
黑助
纳维	navi
斯巴克殿堂	phantom
宸琥	chenhu
海白菜
犬酱
狼小魂
狼王白牙
catmeow
咕喵
FantWing	fartwing
竹本岚
树下次郎	jiron
德洛斯	derose
Null Ghost	ng
梅拉德	mallards
笨妮	randi
寞冥 Vista	vista
炉子冰棒	lutz
丹波
流银
墨菲	mouffy
寒沫
洛佩	lope
格兰艾尔	granair
我留
二闹
昊月
狮纳先辈
阿拉斯加鳕鱼猫	ala
阿川阿虎
毅鼠
森石灰水饺
郁洛气球
Haps	haps

category	游戏
履云录
苦黏寒毒 系列	bscp
厷雏
煦风新笺
家有大猫	nekojishi
Astatos 翻转伊利亚特	astatos
BEEK 使魔与毛茸茸	beek
Adastra	adastra
形骸骑士	kelepot
荧光	glowlight

category	动画
巨兵长城传
大理寺日志

category	静画
大城小调	dachengxiaodiao
布在摸鱼	buzaimoyu
全兽出击	f2+a
助合帮帮忙	zhuhebangbangmang
平行合租日记	mr404
SIGN UP 系列	signup
EX档案 系列	file:ex fileex
药味忍法帖 系列	yaoweirenfatie
欺凌 系列	bullying
世界细胞 系列	worldcell
爆爆卫星 系列	boomboomsatellite
狼蛛 系列	langzhu
班长与学弟 系列
翻转学园
警犬队的狼人
乩身之战
大人的压力

category	社团/工作室
FCLG	fclg
布格克斯社	bogex
Studio Klondike	klondike
黏糊糊茶社
星芒社
煦风社
雏影社

category	商标
爪印文化	pawprint
狛纳世界	bonasiah bona

category	兽展
兽夏祭	furrysummergathering
极兽聚	furrychina
野兽大都汇
绒雪节	furrysnowfest

category	公司
北京无限飞互动娱乐	wxf
武汉两点十分文化传播
天津好传文化传播
上海橙汁狗文化传播	ojdog
上海瑆塔文化传播	sinta
上海端萌文化传播	duanmeng
上海旦苞苞文化传播
重庆找毛聚汇传媒
广州兽夏祭文化传播	shouxiaji
广州福瑞文化传播
大连兽次元文化传播

category	未分类
不知道该连啥	earth global
不再漂泊-游戏
不再漂泊-动画
不再漂泊-兽展
